2	2	586.3	7.1																						
2	2.5	503.8	5.7																						
2	3	436.0	4.7																						
2	3.5	403.6	4.0																						
2	4	422.5	4.7																						
2	4.5	393.3	4.7																						
2	5	366.2	4.7																						
2	5.5	314.3	3.5																						
2	6	282.9	3.5																						
2	6.5	332.9	3.5																						
2	7	281.0	2.8																						
2	7.5	222.6	2.4																						
2	8	271.3	2.8																						
2	8.5	234.6	2.4																						
2	9	254.3	2.6																						
2.5	2	562.4	5.7																						
2.5	2.5	458.2	4.7																						
2.5	3	438.7	4.7																						
2.5	3.5	391.3	4.0																						
2.5	4	332.6	3.5																						
2.5	4.5	349.3	3.5																						
2.5	5	316.5	3.5																						
2.5	5.5	306.1	3.5																						
2.5	6	261.3	2.8																						
2.5	6.5	268.9	2.8																						
2.5	7	243.8	2.8																						
2.5	7.5	241.6	2.6																						
2.5	8	218.0	2.4																						
2.5	8.5	219.0	2.8																						
2.5	9	204.6	2.0																						
3	2	500.2	5.7																						
3	2.5	435.8	4.4																						
3	3	438.7	4.7																						
3	3.5	354.5	3.5																						
3	4	352.3	3.5																						
3	4.5	299.7	3.1																						
3	5	289.6	3.1																						
3	5.5	263.7	2.8																						
3	6	248.7	2.6																						
3	6.5	246.6	2.6																						
3	7	227.4	2.8																						
3	7.5	217.5	2.2																						
3	8	218.9	2.2																						
3	8.5	201.8	2.0																						
3	9	216.0	2.4																						
3.5	2	439.5	4.7																						
3.5	2.5	421.8	4.4																						
3.5	3	380.9	4.0																						
3.5	3.5	370.7	4.0																						
3.5	4	309.6	3.5																						
3.5	4.5	290.7	3.1																						
3.5	5	266.1	2.8																						
3.5	5.5	260.0	2.8																						
3.5	6	233.3	2.4																						
3.5	6.5	220.2	2.2																						
3.5	7	213.5	2.2																						
3.5	7.5	207.6	2.0																						
3.5	8	234.6	2.4																						
3.5	8.5	187.2	2.0																						
3.5	9	194.1	1.9																						
4	2	492.7	4.7																						
4	2.5	396.1	4.0																						
4	3	406.8	4.7																						
4	3.5	321.5	3.5																						
4	4	254.0	2.8																						
4	4.5	272.6	2.8																						
4	5	240.7	2.4																						
4	5.5	232.2	2.4																						
4	6	223.7	2.4																						
4	6.5	207.5	2.2																						
4	7	201.4	2.0																						
4	7.5	192.3	2.0																						
4	8	178.6	2.0																						
4	8.5	183.3	2.0																						
4	9	219.8	2.4																						
4.5	2	429.0	4.7																						
4.5	2.5	320.0	3.1																						
4.5	3	355.1	3.5																						
4.5	3.5	300.2	3.1																						
4.5	4	287.2	3.1																						
4.5	4.5	263.2	2.8																						
4.5	5	245.5	2.6																						
4.5	5.5	232.2	2.4																						
4.5	6	225.2	2.4																						
4.5	6.5	197.7	2.0																						
4.5	7	198.3	2.0																						
4.5	7.5	185.1	1.9																						
4.5	8	177.6	1.8																						
4.5	8.5	164.1	1.7																						
4.5	9	163.7	1.8																						
5	2	433.8	4.7																						
5	2.5	385.0	4.0																						
5	3	328.0	3.5																						
5	3.5	300.9	3.1																						
5	4	293.0	3.1																						
5	4.5	245.9	2.6																						
5	5	199.8	2.2																						
5	5.5	226.3	2.4																						
5	6	227.1	2.6																						
5	6.5	198.6	2.0																						
5	7	243.3	2.8																						
5	7.5	174.9	1.9																						
5	8	204.0	2.0																						
5	8.5	160.4	1.8																						
5	9	166.6	1.8																						
5.5	2	463.5	4.7																						
5.5	2.5	335.8	3.5																						
5.5	3	329.3	3.5																						
5.5	3.5	294.2	3.1																						
5.5	4	279.9	2.8																						
5.5	4.5	252.4	2.6																						
5.5	5	234.6	2.4																						
