Distance_(pixels),Gray_Value
454,10.1225
455,10.1471
456,10.1422
457,10.1373
458,10.1814
459,10.0735
460,10.1520
461,10.1618
462,10.1814
463,10.2059
464,10.2941
465,10.1961
466,10.3578
467,10.2255
468,10.4265
469,10.3824
470,10.5294
471,10.5000
472,10.5490
473,10.5490
474,10.6422
475,10.6716
476,10.7010
477,10.7451
478,10.9363
479,10.8922
480,11.0196
481,11.1275
482,11.1765
483,11.2941
484,11.5294
485,11.3922
486,11.6029
487,11.7059
488,11.6324
489,11.9216
490,12.0441
491,12.0833
492,12.2794
493,12.5294
494,12.7647
495,12.8039
496,13.0833
497,13.1471
498,13.3627
499,13.6765
500,13.8824
501,14.0196
502,14.3529
503,14.4755
504,14.9216
505,15.1667
506,15.5000
507,15.8725
508,16.0147
509,16.3333
510,16.9020
511,17.3284
512,17.8186
513,18.1961
514,18.6765
515,19.0735
516,19.7157
517,20.4461
518,20.8039
519,21.4755
520,22.1373
521,22.7304
522,23.4069
523,24.2059
524,25.1373
525,26.0931
526,26.9461
527,27.9804
528,29.0686
529,30.4902
530,31.6373
531,32.8333
532,34.3627
533,36.0539
534,37.8922
535,39.7500
536,40.9608
537,42.1912
538,43.9020
539,44.9020
540,46.0049
541,47.3922
542,48.7206
543,49.8578
544,51.3039
545,52.5588
546,54.0049
547,55.3578
548,56.3725
549,57.6324
550,59.1422
551,60.5588
552,61.8284
553,63.1716
554,64.3824
555,65.6863
556,66.8088
557,68.3824
558,69.3627
559,70.3873
560,71.3088
561,72.0196
562,72.8774
563,73.5000
564,74.2402
565,74.7059
566,75.0294
567,75.0686
568,75.0735
569,74.7108
570,74.2598
571,73.8922
572,73.1226
573,72.4167
574,71.5343
575,70.7647
576,69.8529
577,68.8284
578,67.7990
579,66.5000
580,65.4559
581,64.1618
582,62.9706
583,61.6765
584,60.5049
585,59.2157
586,58.2451
587,57.0980
588,56.0588
589,54.6569
590,53.3333
591,52.1912
592,50.5441
593,49.4118
594,47.8137
595,46.0980
596,44.4265
597,42.6176
598,40.9167
599,39.2500
600,37.4755
601,35.9559
602,34.6324
603,33.3039
604,32.0392
605,30.8922
606,29.2892
607,28.4216
608,27.7598
609,27.0784
610,26.3480
611,25.4559
612,24.4951
613,23.8137
614,22.9902
615,22.3873
616,21.9510
617,21.3775
618,20.6471
619,19.9951
620,19.6863
621,19.2451
622,18.8088
623,18.4853
624,18.1667
625,17.4608
626,17.3137
627,17.0245
628,16.6765
629,16.3824
630,15.9804
631,15.7647
632,15.3186
633,15.2794
634,14.8627
635,14.7157
636,14.5049
637,14.2892
638,14.0588
639,13.8676
640,13.5686
641,13.4951
642,13.2206
643,13.0392
644,12.9951
645,12.9020
646,12.6225
647,12.6569
648,12.4755
649,12.1716
650,12.1912
651,12.0343
652,12.0294
653,11.8725
654,11.8088
655,11.6520
656,11.6667
657,11.5588
658,11.5294
659,11.3922
660,11.3333
661,11.2647
662,11.2990
663,11.2598
664,11.1127
665,11.0539
666,11.1520
667,11.0882
668,11.0637
669,10.8578
670,10.8186
671,10.8137
672,10.7353
673,10.8235
674,10.7549
675,10.7108
676,10.6471
677,10.7010
678,10.7500
679,10.7157
680,10.7745
681,10.8480
682,10.7059
683,10.6716
684,10.7500
685,10.7451
686,10.8824
687,10.7794
688,10.7696
689,10.7843
690,10.8922
691,10.7843
692,10.7549
693,10.8873
694,10.7941
695,10.9216
696,10.9363
697,11.0196
698,11.0686
699,11.1324
700,11.2353
701,11.2647
702,11.3480
703,11.3922
704,11.3873
705,11.6029
706,11.7206
707,11.7402
708,11.9804
709,11.7696
710,12.0490
711,12.1863
712,12.2255
713,12.3382
714,12.4167
715,12.5196
716,12.7941
717,12.9510
718,13.0343
719,13.2598
720,13.6275
721,13.4657
722,13.8137
723,13.9314
724,14.0833
725,14.2794
726,14.5882
727,14.7794
728,15.0490
729,15.2598
730,15.5735
731,16.0098
732,16.1912
733,16.5441
734,16.9314
735,17.3627
736,17.7794
737,18.2794
738,18.6225
739,19.1863
740,19.6324
741,20.1373
742,20.6716
743,21.3480
744,21.7892
745,22.5882
746,23.3529
747,24.0147
748,24.8824
749,25.5098
750,26.5784
751,27.4559
752,28.2794
753,29.3824
754,30.8088
755,31.8578
756,33.1912
757,34.6225
758,36.1078
759,37.3971
760,39.3529
761,41.0098
762,42.4363
763,43.6422
764,45.1716
765,46.3039
766,47.7206
767,48.9559
768,50.2843
769,51.4314
770,52.8039
771,54.0833
772,55.5245
773,56.9118
774,58.2255
775,59.6127
776,61.0147
777,62.3235
778,63.6618
779,64.9706
780,66.4608
781,67.8137
782,69.3235
783,70.2353
784,71.4118
785,72.6667
786,73.5098
787,74.5833
788,75.2598
789,75.9069
790,76.4608
791,76.6078
792,76.8873
793,76.8039
794,77.0049
795,76.5686
796,76.2745
797,75.8627
798,75.2059
799,74.5000
800,73.5539
801,72.4020
802,71.5343
803,70.2500
804,68.9461
805,67.7794
806,66.7059
807,65.0686
808,63.8137
809,62.7500
810,61.5784
811,60.2500
812,59.1176
813,57.8873
814,56.8627
815,55.5392
816,54.5637
817,53.5441
818,52.2941
819,51.1520
820,49.9314
821,48.7010
822,47.2794
823,45.7745
824,43.9706
825,42.2598
826,40.4069
827,38.7843
828,36.8039
829,35.4902
830,34.2206
831,33.0539
832,31.7696
833,30.7108
834,29.7696
835,28.8578
836,27.9118
837,27.0000
838,26.1078
839,25.6569
840,24.7598
841,24.0392
842,23.4265
843,22.8480
844,22.0980
845,21.4902
846,21.0735
847,20.7745
848,20.3431
849,19.7304
850,19.3039
851,18.9804
852,18.4706
853,18.2010
854,17.8922
855,17.4804
856,17.3676
857,16.9020
858,16.5637
859,16.3676
860,16.0392
861,15.7941
862,15.4363
863,15.3725
864,15.0098
865,14.7892
866,14.4510
867,14.3824
868,14.0637
869,13.8824
870,13.8775
871,13.5686
872,13.5000
873,13.2598
874,13.1765
875,13.1225
876,12.9363
877,12.6814
878,12.5980
879,12.5343
880,12.4314
881,12.2402
882,12.1422
883,12.1618
884,12.0490
885,12.0637
886,11.8676
887,11.8529
888,11.8676
889,11.6618
890,11.7157
891,11.5882
892,11.7157
893,11.5049
894,11.4902
895,11.4314
896,11.4902
897,11.4216
898,11.2990
899,11.2990
900,11.2696
901,11.3578
902,11.2451
903,11.3333
904,11.2206
905,11.2402
906,11.2402
907,11.2108
908,11.1471
909,11.2206
910,11.3088
911,11.1765
912,11.2941
913,11.1471
914,11.1373
915,11.1765
916,11.1814
917,11.2500
918,11.4069
919,11.3284
920,11.3529
921,11.2941
922,11.4461
923,11.4167
924,11.5539
925,11.5392
926,11.6912
927,11.6275
928,11.6225
929,11.7157
930,11.8088
931,11.8627
932,11.9853
933,11.9608
934,12.2108
935,12.1814
936,12.4853
937,12.5049
938,12.6127
939,12.5882
940,12.8971
941,12.8333
942,12.9804
943,13.1765
944,13.2843
945,13.4657
946,13.6029
947,13.8186
948,13.7941
949,14.0931
950,14.3676
951,14.4559
952,14.6275
953,14.8137
954,15.2206
955,15.4608
956,15.7255
957,15.9020
958,16.2157
959,16.4265
960,16.9657
961,17.0441
962,17.2843
963,17.7206
964,18.2255
965,18.5980
966,19.1275
967,19.4216
968,19.8627
969,20.5000
970,21.0392
971,21.7990
972,22.4314
973,23.2353
974,23.6471
975,24.5000
976,25.1029
977,25.9069
978,26.6127
979,27.7451
980,28.6225
981,29.6078
982,30.5294
983,31.6618
984,33.1225
985,34.4951
986,35.5980
987,37.2745
988,39.2010
989,40.9020
990,42.5784
991,43.8873
992,45.2892
993,46.7451
994,47.8284
995,49.2108
996,50.5147
997,52.0098
998,53.4853
999,54.7059
1000,56.1324
1001,57.3873
1002,58.6078
1003,60.0392
1004,61.5833
1005,62.8088
1006,64.2108
1007,65.5490
1008,67.1961
1009,68.4020
1010,69.9510
1011,70.9265
1012,72.0735
1013,73.3284
1014,74.6029
1015,75.4510
1016,76.4608
1017,77.2451
1018,78.0686
1019,78.4461
1020,78.6618
1021,79.0735
1022,79.4608
1023,79.3039
1024,79.1716
1025,78.5539
1026,78.0735
1027,77.4461
1028,76.6961
1029,75.6569
1030,74.9412
1031,73.6520
1032,72.4902
1033,71.2402
1034,69.8529
1035,68.6520
1036,67.4412
1037,66.3382
1038,64.8284
1039,63.4559
1040,62.1127
1041,60.8284
1042,59.7843
1043,58.4216
1044,57.4853
1045,56.2304
1046,55.0147
1047,54.0294
1048,52.6569
1049,51.4804
1050,50.2353
1051,48.9412
1052,47.8235
1053,46.3088
1054,44.7843
1055,43.0049
1056,41.2108
1057,39.4706
1058,37.9608
1059,36.5539
1060,35.1961
1061,33.7010
1062,32.6912
1063,31.4853
1064,30.6324
1065,30.1912
1066,28.8235
1067,28.0294
1068,27.2696
1069,26.5098
1070,25.6716
1071,24.9265
1072,24.3922
1073,23.7108
1074,22.9657
1075,22.5343
1076,21.9902
1077,21.4265
1078,20.9853
1079,20.6225
1080,20.1961
1081,19.5686
1082,19.2843
1083,19.0147
1084,18.3725
1085,18.2696
1086,17.8578
1087,17.2598
1088,17.2696
1089,16.9608
1090,16.6520
1091,16.3775
1092,16.1863
1093,15.8186
1094,15.5000
1095,15.3480
1096,15.1373
1097,14.9657
1098,14.8382
1099,14.5000
1100,14.4314
1101,14.1176
1102,14.0196
1103,13.7696
1104,13.7304
1105,13.5441
1106,13.3824
1107,13.1814
1108,13.1471
1109,13.0784
1110,12.8529
1111,12.8627
1112,12.6716
1113,12.7255
1114,12.6029
1115,12.4118
1116,12.4510
1117,12.2451
1118,12.2108
1119,12.1716
1120,12.0784
1121,12.0637
1122,11.8922
1123,11.8922
1124,11.8873
1125,11.8578
1126,11.7990
1127,11.6422
1128,11.6667
1129,11.7157
1130,11.6176
1131,11.7255
1132,11.5539
1133,11.4706
1134,11.6275
1135,11.5882
1136,11.4706
1137,11.4510
1138,11.5147
1139,11.5539
1140,11.4755
1141,11.3725
1142,11.4167
1143,11.4167
1144,11.5490
1145,11.4706
1146,11.4314
1147,11.4510
1148,11.5539
1149,11.5931
1150,11.7206
1151,11.5588
1152,11.6176
1153,11.6520
1154,11.8088
1155,11.8627
1156,11.7549
1157,11.8137
1158,12.0098
1159,12.0833
1160,12.0588
1161,12.1716
1162,12.1373
1163,12.3186
1164,12.4167
1165,12.4706
1166,12.4706
1167,12.5980
1168,12.7745
1169,12.8235
1170,12.9216
1171,13.0833
1172,13.1961
1173,13.2451
1174,13.4902
1175,13.6029
1176,13.6765
1177,13.9363
1178,14.0000
1179,14.1863
1180,14.4314
1181,14.7353
1182,14.8088
1183,15.1029
1184,15.0882
1185,15.5196
1186,15.7843
1187,15.8627
1188,16.1618
1189,16.5980
1190,16.7696
1191,16.8775
1192,17.2696
1193,17.8480
1194,18.0392
1195,18.6029
1196,19.0098
1197,19.5049
1198,19.8627
1199,20.3627
1200,21.0049
1201,21.4510
1202,21.8431
1203,22.3480
1204,23.1569
1205,23.7745
1206,24.6127
1207,25.1863
1208,26.1765
1209,26.8873
1210,27.8137
1211,28.4412
1212,29.6225
1213,30.7794
1214,31.6373
1215,32.6520
1216,34.1176
1217,35.5049
1218,36.7794
1219,38.3775
1220,40.0882
1221,41.6127
1222,43.1912
1223,44.5441
1224,45.9167
1225,47.0441
1226,48.3824
1227,49.7941
1228,50.9853
1229,52.1324
1230,53.4069
1231,54.7451
1232,55.9853
1233,57.4020
1234,58.7451
1235,60.2696
1236,61.6814
1237,63.1324
1238,64.5735
1239,65.9755
1240,67.4510
1241,68.9118
1242,70.2892
1243,71.4363
1244,72.6765
1245,74.0000
1246,75.2549
1247,76.2598
1248,76.9951
1249,77.8873
1250,78.6226
1251,79.3431
1252,79.6520
1253,79.9020
1254,80.2255
1255,80.0637
1256,79.9510
1257,79.5686
1258,79.3235
1259,78.4853
1260,77.9608
1261,77.3235
1262,75.9755
1263,75.0343
1264,73.8137
1265,72.4951
1266,71.1814
1267,69.8382
1268,68.5539
1269,67.4020
