X,Value,ERR
2538,26.302,1.5829
2539,25.937,1.5891
2540,26.286,1.5848
2541,26.111,1.5859
2542,26.365,1.5845
2543,26.302,1.6041
2544,26.349,1.6033
2545,25.984,1.5351
2546,26.270,1.6009
2547,26.286,1.5945
2548,26.444,1.5682
2549,26.111,1.5704
2550,26.143,1.5467
2551,26.286,1.5772
2552,26.127,1.5663
2553,26.444,1.5698
2554,26.270,1.5766
2555,26.286,1.5644
2556,26.317,1.5721
2557,26.571,1.6229
2558,26.857,1.6066
2559,27.127,1.6162
2560,26.794,1.6089
2561,26.794,1.6079
2562,27.095,1.6227
2563,26.984,1.6157
2564,27.381,1.6502
2565,27.381,1.6340
2566,27.698,1.6660
2567,27.730,1.6715
2568,28.254,1.7112
2569,28.286,1.6952
2570,28.286,1.6955
2571,28.556,1.7033
2572,29.111,1.7362
2573,29.032,1.7297
2574,29.460,1.7817
2575,29.683,1.7504
2576,30.127,1.8018
2577,30.524,1.8497
2578,30.476,1.8581
2579,31.032,1.8836
2580,31.381,1.9157
2581,32.063,1.9486
2582,32.016,1.9429
2583,33.048,2.0400
2584,33.063,2.0088
2585,33.238,2.0534
2586,33.730,2.0909
2587,34.238,2.1257
2588,34.397,2.1438
2589,34.841,2.1484
2590,35.810,2.2362
2591,35.698,2.2291
2592,36.476,2.2758
2593,37.063,2.3460
2594,37.603,2.3642
2595,37.889,2.3466
2596,38.444,2.4054
2597,39.063,2.4487
2598,39.746,2.5029
2599,40.381,2.5770
2600,41.270,2.6141
2601,41.921,2.6610
2602,42.238,2.6877
2603,43.302,2.7604
2604,44.413,2.8391
2605,45.143,2.8763
2606,45.810,2.9447
2607,47.333,3.0494
2608,48.238,3.0990
2609,48.857,3.1532
2610,50.365,3.2439
2611,51.603,3.3671
2612,52.349,3.3690
2613,53.603,3.4595
2614,55.175,3.6200
2615,56.508,3.7004
2616,58.190,3.8107
2617,60.048,3.9534
2618,61.524,4.0494
2619,63.079,4.1281
2620,65.175,4.2837
2621,66.746,4.3890
2622,69.032,4.5882
2623,70.635,4.7297
2624,72.460,4.7675
2625,74.810,4.9822
2626,76.921,5.1344
2627,78.841,5.3152
2628,81.444,5.4401
2629,83.794,5.6279
2630,87.317,5.9303
2631,89.635,6.0676
2632,92.968,6.2527
2633,95.873,6.5067
2634,98.016,6.6924
2635,101.556,6.9568
2636,105.095,7.2348
2637,108.460,7.4518
2638,112.778,7.7467
2639,116.206,7.9973
2640,119.571,8.2042
2641,124.095,8.5483
2642,128.206,8.8343
2643,132.746,9.1682
2644,137.698,9.4851
2645,141.810,9.7853
2646,147.778,10.1947
2647,150.857,10.3910
2648,155.159,10.5050
2649,158.048,10.5744
2650,161.746,10.6472
2651,164.000,10.6786
2652,167.508,10.6963
2653,169.857,10.6846
2654,172.413,10.6367
2655,175.222,10.5705
2656,177.429,10.5349
2657,179.714,10.5089
2658,181.730,10.4281
2659,183.667,10.3545
2660,185.825,10.3125
2661,187.524,10.2671
2662,188.698,10.2136
2663,190.222,10.1275
2664,191.222,10.1093
2665,192.492,10.0618
2666,193.698,9.9972
2667,194.333,9.9449
2668,195.190,9.9083
2669,196.254,9.8576
2670,196.952,9.8337
2671,197.190,9.7974
2672,198.254,9.7568
2673,198.794,9.7547
2674,198.524,9.7046
2675,198.476,9.7022
2676,198.381,9.7189
2677,197.762,9.6972
2678,197.159,9.7181
2679,196.762,9.7512
2680,196.079,9.7944
2681,195.190,9.8317
2682,193.571,9.9267
2683,192.444,9.9622
2684,190.349,10.0773
2685,188.429,10.1610
2686,186.413,10.2581
2687,184.063,10.3023
2688,181.365,10.4428
2689,178.460,10.5070
2690,175.444,10.6348
2691,172.857,10.6672
2692,169.111,10.7146
2693,165.016,10.7645
2694,161.317,10.7694
2695,155.921,10.6596
2696,151.349,10.5046
2697,144.984,10.2072
2698,138.603,9.7992
2699,130.746,9.2193
2700,124.603,8.7808
2701,118.460,8.3614
2702,113.032,7.8883
2703,107.206,7.4778
2704,102.841,7.1424
2705,98.143,6.8091
2706,94.254,6.5673
2707,90.571,6.2749
2708,87.365,6.0434
2709,84.032,5.7684
2710,81.952,5.6655
2711,79.270,5.4678
2712,76.968,5.2881
2713,74.238,5.1439
2714,72.000,5.0064
2715,69.587,4.8216
2716,66.984,4.6192
2717,65.286,4.4673
2718,62.841,4.2838
2719,61.429,4.2182
2720,59.508,4.0530
2721,57.730,3.9106
2722,55.857,3.7679
2723,54.429,3.6373
2724,52.905,3.5345
2725,51.254,3.4039
2726,50.111,3.2792
2727,48.571,3.2034
2728,47.508,3.1496
2729,46.905,3.0763
2730,46.048,3.0819
2731,45.032,2.9611
2732,44.095,2.9057
2733,43.921,2.9338
2734,42.746,2.8516
2735,41.968,2.7904
2736,40.825,2.6475
2737,40.206,2.6218
2738,39.619,2.6106
2739,39.143,2.5439
2740,38.222,2.4946
2741,37.714,2.4789
2742,37.143,2.3977
2743,36.556,2.3737
2744,35.794,2.2804
2745,35.175,2.2372
2746,34.937,2.2227
2747,34.571,2.2386
2748,34.143,2.1541
2749,33.667,2.0956
2750,33.286,2.0872
2751,32.746,2.0471
2752,32.587,2.0618
2753,32.524,2.0305
2754,31.984,1.9553
2755,31.476,1.9138
2756,31.476,1.9545
2757,31.159,1.9090
2758,30.762,1.8786
2759,30.365,1.8431
2760,30.143,1.8390
2761,30.127,1.8262
2762,29.762,1.8454
2763,29.016,1.7739
2764,28.603,1.7398
2765,28.746,1.7859
2766,28.429,1.7843
2767,28.238,1.7372
2768,28.016,1.7575
2769,27.746,1.7322
2770,27.556,1.7342
2771,27.254,1.7153
2772,27.270,1.7244
2773,27.079,1.7050
2774,27.032,1.6531
2775,26.778,1.6647
2776,26.857,1.6580
2777,26.381,1.6173
2778,26.683,1.6120
2779,26.429,1.5745
2780,26.238,1.5761
2781,26.016,1.5944
2782,25.825,1.6137
2783,25.571,1.5575
2784,25.667,1.5893
2785,25.429,1.5954
2786,25.730,1.6077
2787,25.286,1.5578
2788,25.397,1.5807
2789,25.429,1.5701
2790,25.365,1.5334
2791,25.270,1.5653
2792,25.317,1.5582
2793,25.206,1.5240
2794,25.302,1.5603
2795,25.190,1.5400
2796,25.429,1.5708
2797,25.127,1.5464
2798,25.127,1.5803
2799,25.254,1.5248
2800,25.286,1.5578
2801,25.286,1.5560
2802,25.143,1.5534
2803,25.603,1.5963
2804,25.111,1.5459
2805,25.603,1.5879
2806,25.571,1.5881
2807,25.651,1.5617
2808,25.556,1.5677
2809,25.587,1.5717
2810,25.556,1.5625
2811,25.841,1.5697
2812,25.651,1.5651
2813,25.698,1.5743
2814,25.937,1.5806
2815,26.254,1.6180
2816,26.016,1.5863
2817,26.365,1.6352
2818,26.587,1.6456
2819,26.492,1.6174
2820,26.476,1.6117
2821,26.698,1.6507
2822,27.159,1.7210
2823,27.381,1.6680
2824,27.635,1.7282
2825,27.746,1.7162
2826,27.937,1.7381
2827,27.889,1.7208
2828,28.508,1.7390
2829,28.603,1.7657
2830,28.429,1.7562
2831,29.111,1.8018
2832,29.302,1.8415
2833,29.587,1.8168
2834,29.762,1.8480
2835,30.333,1.9037
2836,30.540,1.8943
2837,31.032,1.9111
2838,31.460,1.9585
2839,31.794,1.9854
2840,32.190,2.0311
2841,32.349,2.0333
2842,33.302,2.1063
2843,33.349,2.1118
2844,34.286,2.1579
2845,34.556,2.1796
2846,35.143,2.2036
2847,35.667,2.2946
2848,35.857,2.2770
2849,36.619,2.3191
2850,37.540,2.3948
2851,37.825,2.4163
2852,38.651,2.4854
2853,39.159,2.4829
2854,40.317,2.5707
2855,40.651,2.5882
2856,41.492,2.6655
2857,42.063,2.6888
2858,43.730,2.8248
2859,44.270,2.8990
2860,44.794,2.9031
2861,45.698,2.9733
2862,46.667,3.0614
2863,47.746,3.1401
2864,48.841,3.2016
2865,49.492,3.2399
2866,50.619,3.3374
2867,51.429,3.3802
2868,53.444,3.5127
2869,53.937,3.5749
2870,55.317,3.6552
2871,56.556,3.7565
2872,57.889,3.8626
2873,59.492,3.9734
2874,60.841,4.0403
2875,62.238,4.1856
2876,64.286,4.2878
2877,66.365,4.4771
2878,68.413,4.5830
2879,70.048,4.7279
2880,71.603,4.7971
2881,73.556,4.9545
2882,75.825,5.1596
2883,77.937,5.2633
2884,80.063,5.4081
2885,82.984,5.6240
2886,85.889,5.8212
2887,88.063,5.9463
2888,91.873,6.2861
2889,94.492,6.5015
2890,97.048,6.7130
2891,99.873,6.8181
2892,103.587,7.1117
2893,107.032,7.3185
2894,110.032,7.5660
2895,113.730,7.8254
2896,118.016,8.1861
2897,122.714,8.4998
2898,127.175,8.8156
2899,130.032,9.0011
2900,134.762,9.3662
2901,140.317,9.7978
2902,145.460,10.1293
2903,149.079,10.3996
2904,152.492,10.5297
2905,156.476,10.6009
2906,160.238,10.6983
2907,162.952,10.7495
2908,165.524,10.7182
2909,168.524,10.8043
2910,170.698,10.7536
2911,172.968,10.7489
2912,176.016,10.6837
2913,177.492,10.6915
2914,179.714,10.6217
2915,181.556,10.5893
2916,183.571,10.5462
2917,185.048,10.4623
2918,186.683,10.4133
2919,188.127,10.3770
2920,189.746,10.3135
2921,190.540,10.3235
2922,191.635,10.2634
2923,192.540,10.1712
2924,193.825,10.0893
2925,194.143,10.0581
2926,194.683,10.0381
2927,195.524,10.0242
2928,196.190,9.9525
2929,196.603,9.9448
2930,196.048,10.0060
2931,196.286,10.0293
2932,196.222,9.9686
2933,195.619,10.0002
2934,195.317,10.0011
2935,194.762,9.9796
2936,194.000,10.0685
2937,192.460,10.1388
2938,191.921,10.1808
2939,190.349,10.1889
2940,188.825,10.2490
2941,186.841,10.3485
2942,184.825,10.4320
2943,182.587,10.4916
