X,Value,ERR
2233,116.000,5.3703
2234,111.417,5.1981
2235,106.292,4.9973
2236,101.729,4.8094
2237,97.812,4.5231
2238,94.125,4.3783
2239,91.146,4.2319
2240,87.917,4.0950
2241,85.146,3.9725
2242,82.625,3.8177
2243,80.521,3.7379
2244,78.062,3.5870
2245,75.958,3.4700
2246,74.125,3.4114
2247,72.646,3.3712
2248,70.521,3.2096
2249,69.729,3.1863
2250,67.750,3.0849
2251,66.167,3.0327
2252,64.771,2.9642
2253,63.479,2.9325
2254,61.854,2.7839
2255,61.062,2.7865
2256,59.812,2.7057
2257,58.667,2.6605
2258,57.625,2.6057
2259,57.104,2.5535
2260,56.375,2.5367
2261,55.208,2.5095
2262,54.854,2.4628
2263,54.146,2.4448
2264,53.833,2.4546
2265,53.521,2.3896
2266,52.562,2.3803
2267,52.250,2.3080
2268,52.521,2.3861
2269,51.542,2.2802
2270,51.271,2.2597
2271,51.292,2.3046
2272,50.771,2.2482
2273,50.729,2.2961
2274,50.271,2.2277
2275,50.854,2.3048
2276,50.271,2.2872
2277,49.938,2.2933
2278,49.938,2.2594
2279,49.833,2.2588
2280,49.854,2.2963
2281,49.792,2.2812
2282,49.375,2.2640
2283,49.708,2.2149
2284,49.896,2.2878
2285,50.062,2.2667
2286,50.354,2.3122
2287,50.583,2.3239
2288,50.646,2.2753
2289,51.000,2.2795
2290,51.062,2.3267
2291,51.312,2.3285
2292,52.062,2.3774
2293,52.125,2.4472
2294,53.458,2.4391
2295,53.458,2.4654
2296,53.479,2.4749
2297,54.083,2.4987
2298,55.708,2.5350
2299,56.146,2.6195
2300,55.958,2.5948
2301,57.354,2.6969
2302,58.521,2.7568
2303,59.292,2.8018
2304,60.312,2.8291
2305,61.479,2.8863
2306,62.188,2.9976
2307,63.083,2.9731
2308,64.521,3.0505
2309,65.583,3.1330
2310,66.708,3.1744
2311,67.812,3.2268
2312,69.312,3.3455
2313,71.125,3.3799
2314,72.646,3.5036
2315,74.729,3.5869
2316,75.917,3.6339
2317,78.250,3.7924
2318,79.396,3.7948
2319,81.438,3.9527
2320,82.792,4.0311
2321,84.938,4.1535
2322,87.312,4.1763
2323,89.854,4.3377
2324,91.521,4.4539
2325,94.500,4.7266
2326,96.146,4.8023
2327,99.708,4.9902
2328,102.229,5.0690
2329,105.146,5.2571
2330,108.646,5.5035
2331,111.521,5.4653
2332,114.854,5.7741
2333,118.479,5.9866
2334,122.250,6.1901
2335,126.438,6.4559
2336,130.042,6.5936
2337,134.375,6.8033
2338,138.125,7.0179
2339,143.146,7.2898
2340,146.958,7.5536
2341,151.500,7.7403
2342,156.229,8.0781
2343,161.208,8.2499
2344,165.208,8.4392
2345,170.562,8.6893
2346,175.479,9.0120
2347,181.479,9.3369
2348,184.521,9.4266
2349,187.688,9.3661
2350,190.750,9.3357
2351,192.896,9.2991
2352,194.771,9.1943
2353,197.333,9.1462
2354,199.083,9.1080
2355,200.771,9.0118
2356,202.521,8.9967
2357,204.125,8.9242
2358,204.542,8.9070
2359,205.479,8.8356
2360,210.292,8.3016
2361,206.896,8.7606
2362,206.458,8.7717
2363,206.854,8.7023
2364,206.979,8.6779
2365,206.271,8.6656
2366,206.125,8.7702
2367,205.417,8.8087
2368,203.375,8.8606
2369,202.188,8.8854
2370,200.375,8.9051
2371,198.375,9.0115
2372,195.917,9.0094
2373,192.938,9.0792
2374,189.062,9.0169
2375,186.125,9.1004
2376,181.667,8.9569
2377,176.000,8.7554
2378,169.583,8.3272
2379,163.958,8.0698
2380,157.688,7.7823
2381,152.896,7.4907
2382,146.417,7.1573
2383,141.625,6.9289
2384,136.688,6.7910
2385,131.500,6.4203
2386,128.000,6.2422
2387,124.188,6.0589
2388,120.250,5.9555
2389,117.104,5.7546
2390,113.625,5.5967
2391,110.812,5.3958
2392,108.562,5.3697
2393,106.271,5.2171
2394,105.271,5.1962
2395,103.708,5.0647
2396,101.583,4.9310
2397,100.708,4.9196
2398,99.771,4.9257
2399,99.396,4.9361
2400,98.083,4.8049
2401,97.979,4.8512
2402,97.375,4.7908
2403,97.292,4.8076
2404,96.917,4.7638
2405,97.438,4.7677
2406,97.021,4.7371
2407,96.833,4.6925
2408,97.479,4.7780
2409,98.333,4.7834
2410,98.708,4.7517
2411,98.792,4.8228
2412,98.562,4.7754
2413,100.625,4.8893
2414,100.688,4.8595
2415,102.000,4.9800
2416,103.021,4.9898
2417,103.854,5.0058
2418,106.208,5.2405
2419,107.771,5.3854
2420,109.792,5.3712
2421,110.562,5.4521
2422,112.375,5.5849
2423,114.646,5.7752
2424,117.062,5.7402
2425,119.292,5.9583
2426,122.708,6.1277
2427,124.354,6.2027
2428,126.250,6.2889
2429,129.229,6.4907
2430,131.938,6.5858
2431,135.729,6.8396
2432,139.646,7.0539
2433,142.854,7.2804
2434,147.083,7.5555
2435,150.667,7.7537
2436,154.562,7.9115
2437,157.896,8.0437
2438,160.542,8.2918
2439,165.708,8.5556
2440,168.771,8.6019
2441,173.438,8.9568
2442,176.750,9.1359
2443,181.458,9.2704
2444,185.125,9.4335
2445,187.979,9.4939
2446,190.625,9.4219
2447,193.375,9.2906
2448,195.458,9.3124
2449,197.167,9.2896
2450,198.729,9.1864
2451,200.708,9.1118
2452,201.438,9.1027
2453,202.188,9.0052
2454,203.271,8.9739
2455,204.417,8.8982
2456,204.458,8.8969
2457,205.188,8.8324
2458,204.812,8.8222
2459,204.417,8.7992
2460,203.417,8.8387
2461,202.562,8.8926
2462,202.042,8.9538
2463,201.438,8.9230
2464,199.917,8.9417
2465,198.792,8.9517
2466,196.854,8.9980
2467,195.646,9.0999
2468,192.188,9.1946
2469,189.917,9.1697
2470,185.729,9.1219
2471,179.771,8.9717
2472,173.771,8.6404
2473,167.333,8.3325
2474,160.958,7.9275
2475,154.646,7.7427
2476,149.292,7.4716
2477,142.938,7.1143
2478,136.833,6.7617
2479,130.500,6.4041
2480,124.042,6.1781
2481,118.625,5.8265
2482,114.000,5.6364
2483,109.354,5.3526
2484,104.667,5.2009
2485,100.562,4.9296
2486,96.896,4.7597
2487,92.708,4.6185
2488,90.271,4.3846
2489,87.875,4.3587
2490,84.208,4.2019
2491,81.167,4.0678
2492,78.938,3.9334
2493,77.354,3.8295
2494,75.396,3.7204
2495,73.333,3.6331
2496,71.521,3.5425
2497,70.375,3.4725
2498,68.354,3.3680
2499,66.750,3.2636
2500,65.521,3.2304
2501,64.188,3.0820
2502,62.875,3.0803
2503,61.750,2.9729
2504,59.938,2.9120
2505,59.125,2.9247
2506,58.021,2.7990
2507,57.104,2.7779
2508,56.417,2.7567
2509,55.104,2.6248
2510,54.938,2.6905
2511,53.979,2.5819
2512,53.521,2.5940
2513,52.583,2.5749
2514,52.229,2.5909
2515,52.104,2.5653
2516,51.688,2.5023
2517,51.229,2.5046
2518,51.083,2.5317
2519,50.750,2.5031
2520,50.792,2.4799
2521,50.500,2.4500
2522,50.271,2.4513
2523,49.792,2.4202
2524,49.104,2.3350
2525,49.104,2.3631
2526,49.104,2.3314
2527,48.708,2.3537
2528,49.000,2.4029
2529,48.208,2.3086
2530,48.500,2.3308
2531,48.521,2.3648
2532,48.708,2.4047
2533,49.250,2.4283
2534,49.000,2.4227
2535,49.000,2.4324
2536,48.833,2.4328
2537,49.417,2.4300
2538,49.521,2.3927
2539,50.312,2.4428
2540,50.375,2.4741
2541,51.000,2.5326
2542,51.479,2.5233
2543,51.792,2.6020
2544,51.750,2.5299
2545,52.250,2.5855
2546,53.188,2.6531
2547,53.562,2.6598
2548,54.000,2.6591
2549,54.500,2.6819
2550,55.438,2.7376
2551,56.167,2.8377
2552,57.042,2.8817
2553,57.646,2.9322
2554,58.667,2.9947
2555,60.125,3.0299
2556,61.021,3.0499
2557,61.146,3.0492
2558,62.771,3.1759
2559,64.083,3.2262
2560,65.208,3.3544
2561,66.562,3.3826
2562,67.333,3.4414
2563,68.521,3.4682
2564,70.083,3.6023
2565,71.312,3.6585
2566,72.271,3.7260
2567,74.250,3.8244
2568,75.521,3.8952
2569,77.958,4.0690
2570,79.333,4.1050
2571,81.771,4.2600
2572,83.750,4.3850
2573,85.854,4.4857
2574,88.312,4.6240
2575,90.979,4.8031
2576,92.646,4.8611
2577,95.396,5.0196
2578,97.938,5.1536
2579,101.083,5.3325
2580,103.896,5.4881
2581,107.250,5.7322
2582,110.812,6.0006
2583,113.896,6.1261
2584,116.812,6.2977
2585,120.896,6.4538
2586,124.875,6.7099
2587,128.312,6.8386
2588,132.104,7.0553
2589,136.771,7.3359
2590,141.292,7.5640
2591,145.792,7.8578
2592,149.312,8.1733
2593,154.750,8.4227
2594,159.167,8.6684
2595,163.604,8.9087
2596,168.562,9.2065
2597,173.646,9.5005
2598,177.833,9.7393
2599,182.375,9.8353
2600,185.167,9.9162
2601,187.896,9.9215
2602,189.396,9.8546
2603,192.021,9.8189
2604,194.583,9.7121
2605,195.750,9.6646
2606,197.521,9.6782
2607,199.104,9.5544
2608,200.229,9.4098
2609,201.479,9.4241
2610,202.646,9.3370
2611,203.396,9.3128
2612,203.979,9.3494
2613,204.479,9.3482
2614,204.250,9.3119
2615,204.250,9.2702
2616,203.646,9.3239
2617,202.958,9.2055
2618,202.104,9.2051
2619,201.667,9.2512
2620,199.000,9.2805
2621,198.792,9.2905
2622,196.688,9.3235
2623,194.479,9.3968
2624,191.750,9.3740
2625,189.354,9.4738
2626,185.271,9.3588
2627,181.250,9.3781
2628,175.833,9.1495
2629,169.333,8.7979
2630,164.125,8.4987
2631,158.083,8.1665
2632,152.396,7.8185
2633,147.500,7.5180
2634,141.417,7.2512
2635,137.104,6.9467
2636,131.208,6.5823
2637,128.083,6.4687
2638,123.312,6.1929
2639,119.521,6.0299
2640,116.396,5.9045
2641,112.792,5.8479
2642,109.604,5.6717
2643,106.896,5.4874
2644,105.479,5.5199
2645,103.417,5.4494
2646,100.812,5.2599
2647,100.208,5.2879
2648,99.354,5.2209
2649,98.188,5.0399
2650,96.646,5.0028
2651,96.083,4.8961
2652,95.833,4.9881
2653,96.208,4.8810
2654,95.333,4.7491
2655,95.292,4.7274
2656,94.708,4.7302
2657,96.208,4.7948
2658,95.771,4.8324
2659,95.729,4.7236
2660,95.438,4.7267
2661,96.125,4.7549
2662,96.354,4.7997
2663,97.812,5.0237
2664,97.438,5.0380
2665,98.438,5.0469
2666,98.750,5.0526
2667,100.146,5.1526
2668,100.938,5.1978
2669,102.375,5.3211
2670,103.375,5.4326
2671,106.229,5.4925
2672,106.854,5.7486
2673,108.417,5.7587
2674,110.188,5.8831
2675,112.104,5.9734
2676,113.458,6.0808
2677,115.854,6.1392
2678,117.792,6.1683
2679,121.042,6.3945
2680,122.083,6.5136
2681,124.708,6.5848
2682,127.833,6.7788
2683,131.854,6.9907
2684,134.771,7.1301
2685,138.333,7.4493
2686,142.500,7.5184
2687,146.333,7.7970
2688,149.458,8.0369
2689,153.667,8.2662
2690,157.771,8.4514
2691,160.938,8.7126
2692,164.583,8.9133
2693,169.271,9.1257
2694,173.062,9.3288
2695,176.854,9.5266
2696,181.167,9.7532
2697,185.042,9.7866
2698,186.729,9.7451
2699,189.521,9.7147
2700,191.833,9.6193
2701,193.542,9.6172
2702,194.854,9.5600
2703,197.625,9.4298
2704,198.521,9.4400
2705,199.396,9.4748
2706,200.271,9.4188
2707,201.396,9.3769
2708,202.062,9.3645
2709,202.729,9.2533
2710,203.354,9.1859
2711,203.750,9.1737
2712,202.938,9.1547
2713,203.000,9.2769
2714,202.979,9.2214
2715,201.750,9.3186
2716,200.854,9.2604
2717,200.229,9.2675
2718,199.271,9.2118
2719,197.312,9.2035
2720,195.188,9.3906
2721,192.521,9.3633
2722,189.396,9.3928
2723,184.604,9.1661
2724,179.792,8.9056
2725,173.250,8.5619
2726,168.208,8.4524
2727,162.250,8.0910
2728,155.958,7.7013
2729,148.854,7.2166
2730,143.312,7.0212
2731,137.479,6.8443
2732,131.417,6.5346
2733,125.271,6.2483
2734,119.271,5.9412
2735,114.521,5.6971
2736,109.750,5.5218
2737,105.146,5.3440
2738,100.062,4.9980
2739,96.146,4.8957
2740,92.854,4.7477
2741,89.521,4.5840
2742,86.000,4.3524
2743,83.875,4.3378
2744,81.417,4.1897
2745,78.708,3.9749
2746,76.417,3.8022
2747,74.521,3.7931
2748,72.708,3.6555
2749,71.750,3.5769
2750,69.521,3.4978
2751,67.979,3.3898
2752,66.562,3.2589
2753,65.458,3.2275
2754,63.979,3.1148
2755,62.979,3.0895
