0.0590909	378852
0.177273	874930
0.295455	906456
0.413636	704997
0.531818	1.49639e+06
0.65	422368
0.768182	455770
0.886364	1.07588e+06
1.00455	329990
1.12273	267564
1.24091	347938
1.35909	285632
1.47727	274352
1.59545	150224
1.71364	149360
1.83182	200617
1.95	122812
2.06818	177571
2.18636	113676
2.30455	135978
2.42273	103635
2.54091	140909
2.65909	99463
2.77727	106584
2.89545	97414
3.01364	93029
3.13182	89364
3.25	91334
3.36818	79583
3.48636	96333
3.60455	103849
3.72273	78715
3.84091	71439
3.95909	68100
4.07727	67018
4.19545	65594
4.31364	1.53777e+06
4.43182	1.67772e+07
4.55	3.12574e+06
4.66818	4583
4.78636	3939
4.90455	3592
5.02273	3371
5.14091	2566
5.25909	2242
5.37727	1943
5.49545	1949
5.61364	1472
5.73182	1286
5.85	1129
5.96818	1218
6.08636	2764
6.20455	719
6.32273	638
6.44091	564
6.55909	539
6.67727	442
6.79545	372
6.91364	700
7.03182	400
7.15	506
7.26818	199
7.38636	219
7.50455	191
7.62273	182
7.74091	131
7.85909	110
7.97727	128
8.09545	78
8.21364	73
8.33182	60
8.45	50
8.56818	64
8.68636	35
8.80455	32
8.92273	45
9.04091	39
9.15909	33
9.27727	32
9.39545	22
9.51364	22
9.63182	26
9.75	21
9.86818	14
9.98636	14
10.1045	13
10.2227	5
10.3409	14
10.4591	13
10.5773	13
10.6955	14
10.8136	9
10.9318	9
11.05	13
11.1682	6
11.2864	7
11.4045	12
11.5227	9
11.6409	10
11.7591	8
11.8773	10
11.9955	5
12.1136	4
12.2318	6
12.35	3
12.4682	2
12.5864	0
12.7045	0
