# Secondary Gamma interacting with ARCADIA (Entries = 252, Mean = 0.6381, Std Dev = 0.933)
# Bin starting from 0 MeV (bin width = 0.048 MeV), Counts
1,67
2,8
3,20
4,17
5,9
6,15
7,7
8,11
9,5
10,3
11,10
12,5
13,6
14,6
15,2
16,3
17,1
18,2
19,1
20,1
21,1
23,2
24,2
25,1
27,5
28,2
29,1
30,2
31,1
32,1
34,2
36,2
38,1
41,2
42,1
44,1
45,2
49,3
51,2
52,3
53,1
55,1
56,1
57,1
58,1
63,1
69,1
70,1
73,2
78,2
83,1
84,1
87,1
92,1
