Incident energy 	 
Incident energy 	 
Incident energy 	 σ(E)
3260370.0 	 0.5519995
3263300.0 	 0.50768
3263610.0 	 0.5088652
3266860.0 	 0.5212908
3270110.0 	 0.5337163
3273370.0 	 0.5461801
3276630.0 	 0.5586439
3279890.0 	 0.5711077
3280000.0 	 0.5715282
3283170.0 	 0.5836479
3286440.0 	 0.5961499
3289720.0 	 0.6086902
3290400.0 	 0.61129
3293010.0 	 0.6002043
3296300.0 	 0.5862304
3300000.0 	 0.5705151
3302900.0 	 0.5581977
3306210.0 	 0.5441389
3309520.0 	 0.53008
3312830.0 	 0.5160212
3316160.0 	 0.5018774
3319480.0 	 0.4877761
3322810.0 	 0.4736323
3326150.0 	 0.4594461
3326700.0 	 0.45711
3329490.0 	 0.4667882
3332840.0 	 0.478409
3336190.0 	 0.4900298
3339540.0 	 0.5016506
3340000.0 	 0.5032463
3342910.0 	 0.5133408
3346270.0 	 0.5249963
3349640.0 	 0.5366865
3350000.0 	 0.5379353
3351630.0 	 0.5435896
3351632.0 	 0.5435965
3353020.0 	 0.5484113
3355000.0 	 0.5552797
3356400.0 	 0.5601362
3359790.0 	 0.5718957
3360000.0 	 0.5726242
3361100.0 	 0.57644
3363180.0 	 0.5716416
3366580.0 	 0.563798
3369980.0 	 0.5559544
3373390.0 	 0.5480877
3376380.0 	 0.5411899
3378940.0 	 0.5352842
3380000.0 	 0.5328388
3381510.0 	 0.5293553
3384070.0 	 0.5234496
3386640.0 	 0.5175207
3389220.0 	 0.5115688
3391800.0 	 0.5056169
3394380.0 	 0.499665
3396960.0 	 0.4937131
3399550.0 	 0.4877381
3400000.0 	 0.4867
3402140.0 	 0.480599
3404730.0 	 0.473215
3405300.0 	 0.47159
3407320.0 	 0.4839042
3409920.0 	 0.4997542
3412520.0 	 0.5156042
3415130.0 	 0.5315152
3417730.0 	 0.5473652
3420000.0 	 0.5612035
3420340.0 	 0.5632762
3422960.0 	 0.5792481
3425570.0 	 0.595159
3428190.0 	 0.611131
3428700.0 	 0.61424
3430810.0 	 0.5944663
3433440.0 	 0.5698194
3436060.0 	 0.5452663
3438700.0 	 0.5205257
3441330.0 	 0.4958789
3444410.0 	 0.4670149
3446900.0 	 0.44368
3447930.0 	 0.4393057
3451450.0 	 0.4243568
3454990.0 	 0.409323
3458530.0 	 0.3942891
3461630.0 	 0.3811239
3464290.0 	 0.3698272
3466950.0 	 0.3585306
3469620.0 	 0.3471915
3472290.0 	 0.3358524
3474960.0 	 0.3245133
3475500.0 	 0.32222
3477630.0 	 0.3260311
3480310.0 	 0.3308262
3483000.0 	 0.3356392
3485680.0 	 0.3404344
3488370.0 	 0.3452474
3491060.0 	 0.3500604
3493750.0 	 0.3548735
3495000.0 	 0.35711
3496450.0 	 0.367322
3499150.0 	 0.3863374
3501860.0 	 0.4054232
3504560.0 	 0.4244385
3507270.0 	 0.4435244
3509990.0 	 0.4626806
3512700.0 	 0.4817664
3515420.0 	 0.5009226
3518150.0 	 0.5201493
3518400.0 	 0.52191
3520870.0 	 0.5587589
3523600.0 	 0.5994867
3526330.0 	 0.6402144
3529070.0 	 0.6810914
3531810.0 	 0.7219683
3534000.0 	 0.75464
3534090.0 	 0.7539079
3535920.0 	 0.7390227
3537750.0 	 0.7241375
3539590.0 	 0.709171
3541420.0 	 0.6942858
3543260.0 	 0.6793192
3545090.0 	 0.664434
3546930.0 	 0.6494674
3549230.0 	 0.6307593
3551990.0 	 0.6083094
3554760.0 	 0.5857783
3560300.0 	 0.5407159
