0	15848
1	101721
2	169545
3	43795
4	21356
5	12559
6	7926
7	5265
8	3514
9	2419
10	1725
11	1342
12	995
13	720
14	547
15	429
16	298
17	186
18	159
19	61
20	31
21	9
0	200
1	1221
2	2015
3	520
4	219
5	159
6	113
7	70
8	36
9	30
10	17
11	17
12	11
13	13
14	6
15	3
16	7
17	2
18	1
19	1
0	187
1	1177
2	2070
3	520
4	243
5	154
6	96
7	59
8	38
9	29
10	26
11	7
12	10
13	19
14	9
15	6
16	4
17	2
18	3
19	2
0	195
1	1220
2	2005
3	517
4	265
5	127
6	117
7	60
8	44
9	30
10	18
11	19
12	10
13	15
14	7
15	3
16	2
17	7
0	192
1	1169
2	2048
3	510
4	257
5	162
6	99
7	79
8	45
9	27
10	24
11	11
12	7
13	8
14	6
15	5
16	5
18	2
19	3
20	1
21	1
0	178
1	1202
2	2023
3	529
4	281
5	141
6	97
7	65
8	47
9	30
10	14
11	15
12	15
13	8
14	4
15	4
16	5
18	2
19	1
0	204
1	1260
2	1997
3	506
4	227
5	137
6	109
7	66
8	44
9	27
10	22
11	20
12	12
13	12
14	5
15	6
16	4
17	1
18	2
0	197
1	1162
2	2012
3	553
4	261
5	163
6	86
7	63
8	44
9	42
10	19
11	13
12	15
13	8
14	7
15	5
16	6
17	2
18	1
19	2
0	190
1	1231
2	1981
3	512
4	284
5	135
6	106
7	55
8	52
9	33
10	20
11	19
12	15
13	9
14	7
15	5
16	4
17	3
0	197
1	1211
2	2018
3	507
4	267
5	148
6	104
7	56
8	41
9	25
10	29
11	16
12	12
13	8
14	9
15	5
16	3
17	3
18	1
20	1
0	195
1	1151
2	2096
3	502
4	251
5	148
6	99
7	65
8	46
9	29
10	23
11	15
12	12
13	11
14	5
15	6
16	2
17	1
18	3
19	1
0	177
1	1217
2	1975
3	561
4	256
5	165
6	104
7	65
8	32
9	32
10	20
11	12
12	15
13	11
14	8
15	4
16	3
17	3
19	1
0	193
1	1223
2	2020
3	514
4	273
5	127
6	104
7	67
8	35
9	31
10	22
11	10
12	10
13	8
14	11
15	5
16	3
19	1
20	2
21	2
0	172
1	1213
2	2080
3	522
4	244
5	135
6	94
7	69
8	40
9	31
10	16
11	12
12	13
13	5
14	3
15	3
16	2
17	2
18	3
19	1
21	1
0	196
1	1230
2	2061
3	508
4	257
5	134
6	89
7	50
8	28
9	32
10	23
11	17
12	14
13	9
14	3
15	2
16	3
17	4
18	1
0	200
1	1257
2	2009
3	483
4	246
5	173
6	88
7	57
8	44
9	21
10	20
11	13
12	15
13	11
14	4
15	5
16	7
17	3
18	3
20	2
0	190
1	1178
2	2023
3	533
4	283
5	159
6	84
7	60
8	39
9	36
10	26
11	12
12	14
13	9
14	6
15	2
16	2
17	2
18	1
20	1
21	1
0	205
1	1192
2	2065
3	507
4	264
5	149
6	86
7	54
8	35
9	24
10	29
11	18
12	12
13	6
14	8
15	1
16	2
17	2
18	1
19	1
0	192
1	1226
2	2034
3	518
4	247
5	164
6	93
7	66
8	40
9	18
10	21
11	7
12	9
13	8
14	7
15	5
16	3
17	1
19	2
0	179
1	1261
2	1967
3	524
4	263
5	147
6	95
7	56
8	48
9	28
10	21
11	29
12	9
13	9
14	7
15	5
16	8
18	2
19	1
20	2
0	203
1	1207
2	1982
3	529
4	288
5	161
6	101
7	50
8	36
9	29
10	22
11	19
12	6
13	7
14	8
15	5
16	3
17	4
18	1
0	173
1	1225
2	2002
3	562
4	258
5	146
6	91
7	65
8	36
9	24
10	21
11	18
12	12
13	8
14	3
15	4
16	6
17	3
18	1
19	3
0	180
1	1187
2	2043
3	527
4	251
5	153
6	90
7	66
8	43
9	36
10	18
11	16
12	11
13	16
14	7
15	7
16	6
17	2
18	1
20	1
0	175
1	1198
2	2050
3	535
4	237
5	146
6	102
7	70
8	43
9	26
10	18
11	21
12	10
13	7
14	4
15	9
16	4
17	3
18	2
20	1
0	209
1	1240
2	2018
3	481
4	266
5	138
6	105
7	41
8	39
9	33
10	19
11	16
12	15
13	11
14	9
15	6
16	6
17	3
18	3
19	1
20	2
0	192
1	1249
2	1955
3	539
4	237
5	175
6	83
7	82
8	44
9	24
10	21
11	18
12	6
13	12
14	4
15	9
16	5
17	1
18	1
19	2
20	2
0	169
1	1228
2	2013
3	495
4	278
5	151
6	93
7	74
8	49
9	34
10	22
11	16
12	15
13	8
14	3
15	4
16	2
17	4
18	2
20	1
0	181
1	1234
2	1992
3	535
4	268
5	155
6	87
7	54
8	39
9	23
10	25
11	21
12	14
13	12
14	8
15	7
16	2
17	2
19	2
0	200
1	1234
2	1985
3	558
4	255
5	119
6	110
7	56
8	32
9	33
10	26
11	16
12	16
13	5
14	9
15	3
16	1
18	2
19	1
0	214
1	1210
2	2010
3	518
4	244
5	142
6	86
7	62
8	34
9	40
10	24
11	16
12	13
13	11
14	16
15	11
16	4
17	2
18	3
19	1
0	207
1	1247
2	2046
3	486
4	248
5	139
6	94
7	57
8	45
9	27
10	19
11	12
12	9
13	8
14	7
15	6
16	1
17	2
19	1
0	195
1	1224
2	1976
3	552
4	262
5	157
6	70
7	64
8	49
9	29
10	31
11	11
12	8
13	5
14	11
15	11
16	3
18	3
0	204
1	1210
2	2004
3	538
4	247
5	148
6	104
7	64
8	47
9	23
10	23
11	10
12	10
13	10
14	7
15	6
16	2
17	2
18	1
19	1
0	199
1	1243
2	2004
3	514
4	213
5	155
6	89
7	81
8	51
9	25
10	23
11	17
12	8
13	7
14	9
15	6
16	3
17	5
18	6
19	2
20	1
0	189
1	1251
2	2063
3	445
4	258
5	136
6	97
7	58
8	47
9	29
10	18
11	27
12	15
13	12
14	2
15	7
16	2
17	2
18	3
0	174
1	1250
2	2008
3	504
4	259
5	156
6	92
7	57
8	38
9	33
10	27
11	20
12	10
13	13
14	8
15	5
16	2
17	2
18	1
19	1
20	1
0	188
1	1201
2	1990
3	537
4	275
5	150
6	99
7	71
8	43
9	31
10	16
11	11
12	17
13	12
14	11
15	2
16	1
17	3
18	2
20	1
0	206
1	1210
2	2065
3	480
4	251
5	154
6	86
7	65
8	39
9	22
10	22
11	11
12	18
13	11
14	4
15	4
16	7
17	1
18	2
19	2
21	1
0	189
1	1217
2	2065
3	518
4	240
5	143
6	83
7	63
8	42
9	27
10	21
11	11
12	10
13	12
14	3
15	7
16	1
17	6
19	2
20	1
0	203
1	1252
2	1952
3	519
4	279
5	160
6	90
7	75
8	32
9	26
10	21
11	14
12	8
13	3
14	12
15	7
16	4
17	2
18	1
20	1
0	218
1	1210
2	1990
3	539
4	264
5	119
6	103
7	66
8	34
9	32
10	27
11	18
12	11
13	5
14	5
15	6
16	4
17	3
18	3
19	4
0	411
1	2555
2	4412
3	1148
4	521
5	306
6	202
7	144
8	83
9	66
10	44
11	29
12	19
13	20
14	10
15	10
16	7
17	8
18	2
19	2
20	1
0	411
1	2538
2	4364
3	1206
4	525
5	303
6	182
7	138
8	93
9	73
10	42
11	31
12	27
13	20
14	13
15	12
16	10
17	4
18	2
19	3
20	2
21	1
0	379
1	2602
2	4317
3	1154
4	588
5	344
6	183
7	120
8	103
9	54
10	43
11	31
12	22
13	18
14	13
15	4
16	7
17	8
18	2
19	3
20	3
21	2
0	573
1	3879
2	6545
3	1673
4	835
5	480
6	334
7	200
8	134
9	89
10	57
11	55
12	41
13	29
14	29
15	14
16	15
17	6
18	5
19	4
20	3
0	648
1	3784
2	6639
3	1680
4	787
5	481
6	322
7	189
8	132
9	116
10	58
11	43
12	30
13	28
14	19
15	17
16	9
17	8
18	6
19	3
20	1
0	1204
1	7771
2	13092
3	3332
4	1586
5	952
6	617
7	408
8	293
9	181
10	171
11	122
12	72
13	51
14	41
15	33
16	24
17	24
18	14
19	6
20	5
21	1
0	1168
1	7875
2	12904
3	3430
4	1648
5	993
6	623
7	418
8	247
9	205
10	131
11	111
12	69
13	45
14	49
15	25
16	27
17	14
18	11
19	6
21	1
0	1276
1	7871
2	12925
3	3395
4	1615
5	958
6	588
7	426
8	262
9	204
10	132
11	108
12	71
13	53
14	42
15	25
16	16
17	19
18	7
19	6
20	1
0	1241
1	7906
2	12862
3	3373
4	1604
5	1003
6	600
7	432
8	269
9	199
10	139
11	119
12	59
13	65
14	40
15	24
16	26
17	15
18	15
19	7
20	1
21	1
0	2773
1	7057
2	9034
3	3369
4	2165
5	1480
6	1121
7	753
8	596
9	403
10	360
11	242
12	183
13	131
14	104
15	88
16	43
17	40
18	29
19	17
20	10
21	2
0	473
1	1146
2	1488
3	541
4	364
5	266
6	183
7	115
8	114
9	81
10	67
11	50
12	22
13	27
14	25
15	14
16	9
17	5
18	4
19	6
0	445
1	1225
2	1440
3	564
4	368
5	266
6	169
7	159
8	103
9	70
10	52
11	36
12	26
13	22
14	16
15	9
16	11
17	8
18	3
19	4
20	3
21	1
0	462
1	1182
2	1454
3	570
4	361
5	277
6	204
7	121
8	88
9	74
10	47
11	51
12	37
13	27
14	15
15	11
16	8
17	4
18	3
19	3
20	1
0	436
1	1194
2	1483
3	592
4	360
5	232
6	196
7	136
8	98
9	69
10	63
11	38
12	32
13	21
14	17
15	12
16	9
17	2
18	1
19	7
20	2
1	13
2	31
3	2
5	1
6	2
10	1
0	2
1	20
2	67
3	3
4	2
5	2
6	1
7	2
9	1
0	2028
1	13227
2	21588
3	5545
4	2740
5	1590
6	983
7	692
8	444
9	304
10	245
11	182
12	128
13	104
14	62
15	56
16	28
17	24
18	12
19	8
20	5
21	4
22	1
0	1994
1	13213
2	21613
3	5649
4	2743
5	1540
6	949
7	675
8	455
9	342
10	230
11	155
12	147
13	90
14	71
15	31
16	46
17	22
18	22
19	9
20	4
0	2105
1	12873
2	21618
3	5740
4	2743
5	1591
6	1057
7	669
8	458
9	300
10	229
11	162
12	138
13	89
14	82
15	38
16	42
17	29
18	19
19	11
20	3
21	4
0	1971
1	12972
2	21800
3	5681
4	2743
5	1638
6	939
7	680
8	433
