time	V(n003)*10	V(n009)*10
1.825000000008894e-06	1.978473e-20	-2.915241e-07
1.845000000008992e-06	1.679622e-21	-2.915241e-07
1.865000000009090e-06	-2.889660e-23	-2.915241e-07
1.885000000009188e-06	-1.878180e-22	-2.915241e-07
1.905000000009286e-06	-2.010508e-22	-2.915241e-07
1.925000000009384e-06	-2.010392e-22	-2.915241e-07
1.945000000009483e-06	-2.010276e-22	-2.915241e-07
1.965000000009581e-06	-2.407493e-22	-2.915241e-07
1.985000000009679e-06	-1.877600e-22	-2.915241e-07
2.005000000009777e-06	-2.407262e-22	-2.915241e-07
2.025000000009875e-06	6.296173e-20	-2.915241e-07
2.045000000009973e-06	7.833841e-20	-2.915241e-07
2.065000000010071e-06	1.097675e-19	-2.915241e-07
2.085000000010169e-06	9.992677e-20	-2.915241e-07
2.105000000010267e-06	1.152241e-19	-2.915241e-07
2.125000000010365e-06	-5.866638e-19	-2.915241e-07
2.145000000010463e-06	6.435043e-19	-2.915241e-07
2.165000000010561e-06	-4.494251e-19	-2.915241e-07
2.185000000010659e-06	-6.644714e-22	-2.915241e-07
2.205000000010757e-06	8.372905e-20	-2.915241e-07
2.225000000010855e-06	8.543749e-20	-2.915241e-07
2.245000000010954e-06	1.102443e-19	-2.915241e-07
2.265000000011052e-06	-5.874716e-19	-2.915241e-07
2.285000000011150e-06	6.435441e-19	-2.915241e-07
2.305000000011248e-06	-4.494250e-19	-2.915241e-07
2.325000000011346e-06	6.641127e-19	-2.915241e-07
2.345000000011444e-06	-4.490409e-19	-2.915241e-07
2.365000000011542e-06	-2.299439e-20	-2.915241e-07
2.385000000011640e-06	7.966301e-20	-2.915241e-07
2.405000000011738e-06	1.143502e-19	-2.915241e-07
2.425000000011836e-06	-3.996050e-20	-2.915241e-07
2.445000000011934e-06	-2.796649e-21	-2.915241e-07
2.465000000012032e-06	-3.331760e-22	-2.915241e-07
2.485000000012130e-06	-2.272092e-22	-2.915241e-07
2.505000000012228e-06	-2.139533e-22	-2.915241e-07
2.525000000012326e-06	-1.742086e-22	-2.915241e-07
2.545000000012424e-06	-1.874415e-22	-2.915241e-07
2.565000000012523e-06	-2.006745e-22	-2.915241e-07
2.585000000012621e-06	-2.139075e-22	-2.915241e-07
2.605000000012719e-06	-1.741628e-22	-2.915241e-07
2.625000000012817e-06	-5.824385e-19	-2.915241e-07
2.645000000012915e-06	6.537161e-19	-2.915241e-07
2.665000000013013e-06	-4.475706e-19	-2.915241e-07
2.685000000013111e-06	6.636626e-19	-2.915241e-07
2.705000000013209e-06	-4.494116e-19	-2.915241e-07
2.725000000013307e-06	-9.290701e-22	-2.915241e-07
2.745000000013405e-06	8.403397e-20	-2.915241e-07
2.765000000013503e-06	8.559671e-20	-2.915241e-07
2.785000000013601e-06	1.102976e-19	-2.915241e-07
2.805000000013699e-06	-5.874713e-19	-2.915241e-07
2.825000000013797e-06	6.435841e-19	-2.915241e-07
2.845000000013895e-06	-4.493585e-19	-2.915241e-07
2.865000000013994e-06	-6.640695e-22	-2.915241e-07
2.885000000014092e-06	8.367648e-20	-2.915241e-07
2.905000000014190e-06	8.542465e-20	-2.915241e-07
2.925000000014288e-06	1.102183e-19	-2.915241e-07
2.945000000014386e-06	9.951667e-20	-2.915241e-07
2.965000000014484e-06	-5.497378e-19	-2.915241e-07
2.985000000014582e-06	6.331741e-19	-2.915241e-07
3.005000000014680e-06	-4.634902e-19	-2.915241e-07
3.025000000014778e-06	-5.445212e-21	-2.915241e-07
3.045000000014876e-06	1.529449e-19	-2.915241e-07
3.065000000014974e-06	1.082714e-19	-2.915241e-07
3.085000000015072e-06	2.660421e-21	-2.915241e-07
3.105000000015170e-06	-4.387622e-22	-2.915241e-07
3.125000000015268e-06	-2.665734e-22	-2.915241e-07
3.145000000015366e-06	-1.870956e-22	-2.915241e-07
3.165000000015464e-06	-2.135731e-22	-2.915241e-07
3.185000000015563e-06	-2.268062e-22	-2.915241e-07
3.205000000015661e-06	-2.267949e-22	-2.915241e-07
