time	V(n003)*10
0.000000000000000e+00	1.745396e-17
3.571428571438340e-09	5.439700e-17
7.142857142876679e-09	7.952173e-17
1.071428571431502e-08	9.282813e-17
1.428571428575336e-08	9.431621e-17
1.785714285719170e-08	8.398597e-17
2.142857142863004e-08	6.183741e-17
2.500000000006837e-08	2.787052e-17
4.500000000016643e-08	-5.770356e-19
6.500000000026450e-08	7.758544e-19
8.500000000036256e-08	-5.623748e-19
1.050000000004606e-07	9.734302e-20
1.250000000005587e-07	1.526735e-20
1.450000000006568e-07	7.252306e-20
1.650000000007548e-07	8.167486e-20
1.850000000008529e-07	1.103093e-19
2.050000000009509e-07	-5.870754e-19
2.250000000010490e-07	6.436621e-19
2.450000000011471e-07	-4.493997e-19
2.650000000012451e-07	6.641512e-19
2.850000000013432e-07	-4.490422e-19
3.050000000014413e-07	-2.295587e-20
3.250000000015393e-07	7.966180e-20
3.450000000016374e-07	1.144152e-19
3.650000000017355e-07	-5.866780e-19
3.850000000018335e-07	6.432119e-19
4.050000000019316e-07	-4.496248e-19
4.250000000020297e-07	6.641513e-19
4.450000000021277e-07	-4.490553e-19
4.650000000022258e-07	-2.299550e-20
4.850000000023239e-07	7.968838e-20
5.050000000024219e-07	1.144021e-19
5.250000000025200e-07	-5.866779e-19
5.450000000026180e-07	1.221899e-19
5.650000000027161e-07	1.115413e-19
5.850000000028142e-07	1.383725e-20
6.050000000029122e-07	1.387510e-21
6.250000000030103e-07	-1.638654e-23
6.450000000031084e-07	-2.017965e-22
6.650000000032064e-07	-2.150290e-22
6.850000000033045e-07	-2.282615e-22
7.050000000034026e-07	-1.620276e-22
7.250000000035006e-07	-2.017489e-22
7.450000000035987e-07	-1.884926e-22
7.650000000036968e-07	6.297423e-20
7.850000000037948e-07	7.837739e-20
8.050000000038929e-07	1.097535e-19
8.250000000039909e-07	9.993927e-20
8.450000000040890e-07	-5.495802e-19
8.650000000041871e-07	6.331332e-19
8.850000000042851e-07	-4.634649e-19
9.050000000043832e-07	-5.433185e-21
9.250000000044813e-07	8.321179e-20
9.450000000045793e-07	8.558246e-20
9.650000000046774e-07	1.102834e-19
9.850000000047755e-07	9.950230e-20
1.005000000004874e-06	-5.497125e-19
1.025000000004972e-06	6.331465e-19
1.045000000005070e-06	-4.634781e-19
1.065000000005168e-06	-5.459577e-21
1.085000000005266e-06	8.321189e-20
1.105000000005364e-06	8.563553e-20
1.125000000005462e-06	1.103497e-19
1.145000000005560e-06	9.950240e-20
1.165000000005658e-06	-5.497389e-19
1.185000000005756e-06	1.851939e-19
1.205000000005854e-06	1.687059e-20
1.225000000005952e-06	1.348145e-21
1.245000000006050e-06	-8.224086e-23
1.265000000006148e-06	-1.749400e-22
1.285000000006246e-06	-1.616839e-22
1.305000000006344e-06	-2.278942e-22
1.325000000006443e-06	-2.278825e-22
1.345000000006541e-06	-1.881375e-22
1.365000000006639e-06	-2.278590e-22
1.385000000006737e-06	6.298784e-20
1.405000000006835e-06	7.839100e-20
1.425000000006933e-06	1.097803e-19
1.445000000007031e-06	9.993964e-20
1.465000000007129e-06	-5.495268e-19
1.485000000007227e-06	6.331733e-19
1.505000000007325e-06	-4.635308e-19
1.525000000007423e-06	6.593045e-19
1.545000000007521e-06	-4.495315e-19
1.565000000007619e-06	-2.279619e-20
1.585000000007717e-06	7.979499e-20
1.605000000007815e-06	1.144027e-19
1.625000000007914e-06	-5.866110e-19
1.645000000008012e-06	6.432127e-19
1.665000000008110e-06	-4.495976e-19
1.685000000008208e-06	6.640858e-19
1.705000000008306e-06	-4.490943e-19
1.725000000008404e-06	-2.304774e-20
1.745000000008502e-06	7.964939e-20
1.765000000008600e-06	1.143896e-19
1.785000000008698e-06	-5.866507e-19
1.805000000008796e-06	1.996042e-19
1.825000000008894e-06	1.978473e-20
1.845000000008992e-06	1.679622e-21
1.865000000009090e-06	-2.889660e-23
1.885000000009188e-06	-1.878180e-22
1.905000000009286e-06	-2.010508e-22
1.925000000009384e-06	-2.010392e-22
1.945000000009483e-06	-2.010276e-22
1.965000000009581e-06	-2.407493e-22
1.985000000009679e-06	-1.877600e-22
2.005000000009777e-06	-2.407262e-22
2.025000000009875e-06	6.296173e-20
2.045000000009973e-06	7.833841e-20
2.065000000010071e-06	1.097675e-19
2.085000000010169e-06	9.992677e-20
2.105000000010267e-06	1.152241e-19
2.125000000010365e-06	-5.866638e-19
2.145000000010463e-06	6.435043e-19
2.165000000010561e-06	-4.494251e-19
2.185000000010659e-06	-6.644714e-22
2.205000000010757e-06	8.372905e-20
2.225000000010855e-06	8.543749e-20
2.245000000010954e-06	1.102443e-19
2.265000000011052e-06	-5.874716e-19
2.285000000011150e-06	6.435441e-19
2.305000000011248e-06	-4.494250e-19
2.325000000011346e-06	6.641127e-19
2.345000000011444e-06	-4.490409e-19
2.365000000011542e-06	-2.299439e-20
2.385000000011640e-06	7.966301e-20
2.405000000011738e-06	1.143502e-19
2.425000000011836e-06	-3.996050e-20
2.445000000011934e-06	-2.796649e-21
2.465000000012032e-06	-3.331760e-22
2.485000000012130e-06	-2.272092e-22
2.505000000012228e-06	-2.139533e-22
2.525000000012326e-06	-1.742086e-22
2.545000000012424e-06	-1.874415e-22
2.565000000012523e-06	-2.006745e-22
2.585000000012621e-06	-2.139075e-22
2.605000000012719e-06	-1.741628e-22
2.625000000012817e-06	-5.824385e-19
2.645000000012915e-06	6.537161e-19
2.665000000013013e-06	-4.475706e-19
2.685000000013111e-06	6.636626e-19
2.705000000013209e-06	-4.494116e-19
2.725000000013307e-06	-9.290701e-22
2.745000000013405e-06	8.403397e-20
2.765000000013503e-06	8.559671e-20
2.785000000013601e-06	1.102976e-19
2.805000000013699e-06	-5.874713e-19
2.825000000013797e-06	6.435841e-19
2.845000000013895e-06	-4.493585e-19
2.865000000013994e-06	-6.640695e-22
2.885000000014092e-06	8.367648e-20
2.905000000014190e-06	8.542465e-20
2.925000000014288e-06	1.102183e-19
2.945000000014386e-06	9.951667e-20
2.965000000014484e-06	-5.497378e-19
2.985000000014582e-06	6.331741e-19
3.005000000014680e-06	-4.634902e-19
3.025000000014778e-06	-5.445212e-21
3.045000000014876e-06	1.529449e-19
3.065000000014974e-06	1.082714e-19
3.085000000015072e-06	2.660421e-21
3.105000000015170e-06	-4.387622e-22
3.125000000015268e-06	-2.665734e-22
3.145000000015366e-06	-1.870956e-22
3.165000000015464e-06	-2.135731e-22
3.185000000015563e-06	-2.268062e-22
3.205000000015661e-06	-2.267949e-22
3.225000000015759e-06	-2.135392e-22
3.245000000015857e-06	-2.400167e-22
3.265000000015955e-06	-5.824116e-19
3.285000000016053e-06	6.537164e-19
3.305000000016151e-06	-4.475967e-19
