time	V(n003)*10
1.127667012457162e-04	1.975539e+00
1.127867012457160e-04	1.975549e+00
1.128067012457159e-04	1.975559e+00
1.128267012457158e-04	1.975569e+00
1.128467012457157e-04	1.975579e+00
1.128667012457156e-04	1.975589e+00
1.128867012457154e-04	1.975600e+00
1.129067012457153e-04	1.975610e+00
1.129267012457152e-04	1.975620e+00
1.129467012457151e-04	1.975630e+00
1.129667012457150e-04	1.975640e+00
1.129867012457148e-04	1.975650e+00
1.130067012457147e-04	1.975660e+00
1.130267012457146e-04	1.975670e+00
1.130467012457145e-04	1.975680e+00
1.130667012457144e-04	1.975690e+00
1.130867012457143e-04	1.975700e+00
1.131067012457141e-04	1.975710e+00
1.131267012457140e-04	1.975720e+00
1.131467012457139e-04	1.975730e+00
1.131667012457138e-04	1.975740e+00
1.131867012457137e-04	1.975750e+00
1.132067012457135e-04	1.975760e+00
1.132267012457134e-04	1.975770e+00
1.132467012457133e-04	1.975780e+00
1.132667012457132e-04	1.975790e+00
1.132867012457131e-04	1.975800e+00
1.133067012457129e-04	1.975810e+00
1.133267012457128e-04	1.975820e+00
1.133467012457127e-04	1.975830e+00
1.133667012457126e-04	1.975840e+00
1.133867012457125e-04	1.975849e+00
1.134067012457124e-04	1.975859e+00
1.134267012457122e-04	1.975869e+00
1.134467012457121e-04	1.975879e+00
1.134667012457120e-04	1.975889e+00
1.134867012457119e-04	1.975899e+00
1.135067012457118e-04	1.975909e+00
1.135267012457116e-04	1.975919e+00
1.135467012457115e-04	1.975929e+00
1.135667012457114e-04	1.975939e+00
1.135867012457113e-04	1.975949e+00
1.136067012457112e-04	1.975959e+00
1.136267012457110e-04	1.975968e+00
1.136467012457109e-04	1.975978e+00
1.136667012457108e-04	1.975988e+00
1.136867012457107e-04	1.975998e+00
1.137067012457106e-04	1.976008e+00
1.137267012457105e-04	1.976018e+00
1.137467012457103e-04	1.976028e+00
1.137667012457102e-04	1.976038e+00
1.137867012457101e-04	1.976047e+00
1.138067012457100e-04	1.976057e+00
1.138267012457099e-04	1.976067e+00
1.138467012457097e-04	1.976077e+00
1.138667012457096e-04	1.976087e+00
1.138867012457095e-04	1.976097e+00
1.139067012457094e-04	1.976106e+00
1.139267012457093e-04	1.976116e+00
1.139467012457091e-04	1.976126e+00
1.139667012457090e-04	1.976136e+00
1.139867012457089e-04	1.976146e+00
1.140067012457088e-04	1.976155e+00
1.140267012457087e-04	1.976165e+00
1.140467012457086e-04	1.976175e+00
1.140667012457084e-04	1.976185e+00
1.140867012457083e-04	1.976195e+00
1.141067012457082e-04	1.976205e+00
1.141267012457081e-04	1.976214e+00
1.141467012457080e-04	1.976224e+00
1.141667012457078e-04	1.976234e+00
1.141867012457077e-04	1.976244e+00
1.142067012457076e-04	1.976253e+00
1.142267012457075e-04	1.976263e+00
1.142467012457074e-04	1.976273e+00
1.142667012457072e-04	1.976283e+00
1.142867012457071e-04	1.976292e+00
1.143067012457070e-04	1.976302e+00
1.143267012457069e-04	1.976312e+00
1.143467012457068e-04	1.976322e+00
1.143667012457067e-04	1.976331e+00
1.143867012457065e-04	1.976341e+00
1.144067012457064e-04	1.976351e+00
1.144267012457063e-04	1.976361e+00
1.144467012457062e-04	1.976370e+00
1.144667012457061e-04	1.976380e+00
1.144867012457059e-04	1.976390e+00
1.145067012457058e-04	1.976399e+00
1.145267012457057e-04	1.976409e+00
1.145467012457056e-04	1.976419e+00
1.145667012457055e-04	1.976428e+00
1.145867012457053e-04	1.976438e+00
1.146067012457052e-04	1.976448e+00
1.146267012457051e-04	1.976457e+00
1.146467012457050e-04	1.976467e+00
1.146667012457049e-04	1.976477e+00
1.146867012457048e-04	1.976486e+00
1.147067012457046e-04	1.976496e+00
1.147267012457045e-04	1.976506e+00
1.147467012457044e-04	1.976515e+00
1.147667012457043e-04	1.976525e+00
1.147867012457042e-04	1.976535e+00
1.148067012457040e-04	1.976544e+00
1.148267012457039e-04	1.976554e+00
1.148467012457038e-04	1.976563e+00
1.148667012457037e-04	1.976573e+00
1.148867012457036e-04	1.976583e+00
1.149067012457034e-04	1.976592e+00
1.149267012457033e-04	1.976602e+00
1.149467012457032e-04	1.976612e+00
1.149667012457031e-04	1.976621e+00
1.149867012457030e-04	1.976631e+00
1.150067012457029e-04	1.976640e+00
1.150267012457027e-04	1.976650e+00
1.150467012457026e-04	1.976659e+00
1.150667012457025e-04	1.976669e+00
1.150867012457024e-04	1.976679e+00
1.151067012457023e-04	1.976688e+00
1.151267012457021e-04	1.976698e+00
1.151467012457020e-04	1.976707e+00
1.151667012457019e-04	1.976717e+00
1.151867012457018e-04	1.976727e+00
1.152067012457017e-04	1.976736e+00
1.152267012457015e-04	1.976746e+00
1.152467012457014e-04	1.976755e+00
1.152667012457013e-04	1.976765e+00
1.152867012457012e-04	1.976774e+00
1.153067012457011e-04	1.976784e+00
1.153267012457010e-04	1.976793e+00
1.153467012457008e-04	1.976803e+00
1.153667012457007e-04	1.976812e+00
1.153867012457006e-04	1.976822e+00
1.154067012457005e-04	1.976831e+00
1.154267012457004e-04	1.976841e+00
1.154467012457002e-04	1.976850e+00
1.154667012457001e-04	1.976860e+00
1.154867012457000e-04	1.976869e+00
1.155067012456999e-04	1.976879e+00
1.155267012456998e-04	1.976888e+00
1.155467012456996e-04	1.976898e+00
1.155667012456995e-04	1.976907e+00
1.155867012456994e-04	1.976917e+00
1.156067012456993e-04	1.976926e+00
1.156267012456992e-04	1.976936e+00
1.156467012456991e-04	1.976945e+00
1.156667012456989e-04	1.976954e+00
1.156867012456988e-04	1.976964e+00
1.157067012456987e-04	1.976973e+00
1.157267012456986e-04	1.976983e+00
1.157467012456985e-04	1.976992e+00
1.157667012456983e-04	1.977002e+00
1.157867012456982e-04	1.977011e+00
1.158067012456981e-04	1.977021e+00
1.158267012456980e-04	1.977030e+00
1.158467012456979e-04	1.977039e+00
1.158667012456977e-04	1.977049e+00
1.158867012456976e-04	1.977058e+00
1.159067012456975e-04	1.977067e+00
1.159267012456974e-04	1.977077e+00
1.159467012456973e-04	1.977086e+00
1.159667012456972e-04	1.977096e+00
1.159867012456970e-04	1.977105e+00
1.160067012456969e-04	1.977114e+00
1.160267012456968e-04	1.977124e+00
1.160467012456967e-04	1.977133e+00
1.160667012456966e-04	1.977143e+00
1.160867012456964e-04	1.977152e+00
1.161067012456963e-04	1.977161e+00
1.161267012456962e-04	1.977171e+00
1.161467012456961e-04	1.977180e+00
1.161667012456960e-04	1.977189e+00
1.161867012456958e-04	1.977199e+00
1.162067012456957e-04	1.977208e+00
1.162267012456956e-04	1.977217e+00
1.162467012456955e-04	1.977227e+00
1.162667012456954e-04	1.977236e+00
1.162867012456953e-04	1.977245e+00
1.163067012456951e-04	1.977255e+00
1.163267012456950e-04	1.977264e+00
1.163467012456949e-04	1.977273e+00
1.163667012456948e-04	1.977282e+00
1.163867012456947e-04	1.977292e+00
1.164067012456945e-04	1.977301e+00
1.164267012456944e-04	1.977310e+00
1.164467012456943e-04	1.977320e+00
1.164667012456942e-04	1.977329e+00
1.164867012456941e-04	1.977338e+00
1.165067012456939e-04	1.977348e+00
1.165267012456938e-04	1.977357e+00
1.165467012456937e-04	1.977366e+00
1.165667012456936e-04	1.977375e+00
1.165867012456935e-04	1.977385e+00
1.166067012456934e-04	1.977394e+00
1.166267012456932e-04	1.977403e+00
1.166467012456931e-04	1.977412e+00
1.166667012456930e-04	1.977422e+00
1.166867012456929e-04	1.977431e+00
1.167067012456928e-04	1.977440e+00
1.167267012456926e-04	1.977449e+00
1.167467012456925e-04	1.977459e+00
1.167667012456924e-04	1.977468e+00
1.167867012456923e-04	1.977477e+00
1.168067012456922e-04	1.977486e+00
1.168267012456920e-04	1.977495e+00
1.168467012456919e-04	1.977505e+00
1.168667012456918e-04	1.977514e+00
1.168867012456917e-04	1.977523e+00
1.169067012456916e-04	1.977532e+00
1.169267012456914e-04	1.977541e+00
1.169467012456913e-04	1.977551e+00
1.169667012456912e-04	1.977560e+00
1.169867012456911e-04	1.977569e+00
1.170067012456910e-04	1.977578e+00
1.170267012456909e-04	1.977587e+00
1.170467012456907e-04	1.977596e+00
1.170667012456906e-04	1.977606e+00
1.170867012456905e-04	1.977615e+00
1.171067012456904e-04	1.977624e+00
1.171267012456903e-04	1.977633e+00
1.171467012456901e-04	1.977642e+00
1.171667012456900e-04	1.977651e+00
1.171867012456899e-04	1.977661e+00
1.172067012456898e-04	1.977670e+00
1.172267012456897e-04	1.977679e+00
1.172467012456895e-04	1.977688e+00
1.172667012456894e-04	1.977697e+00
1.172867012456893e-04	1.977706e+00
1.173067012456892e-04	1.977715e+00
1.173267012456891e-04	1.977724e+00
1.173467012456890e-04	1.977733e+00
1.173667012456888e-04	1.977742e+00
1.173867012456887e-04	1.977752e+00
1.174067012456886e-04	1.977761e+00
1.174267012456885e-04	1.977770e+00
1.174467012456884e-04	1.977779e+00
1.174667012456882e-04	1.977788e+00
1.174867012456881e-04	1.977797e+00
1.175067012456880e-04	1.977806e+00
1.175267012456879e-04	1.977815e+00
1.175467012456878e-04	1.977824e+00
1.175667012456876e-04	1.977833e+00
1.175867012456875e-04	1.977842e+00
1.176067012456874e-04	1.977851e+00
1.176267012456873e-04	1.977860e+00
1.176467012456872e-04	1.977870e+00
1.176667012456871e-04	1.977879e+00
1.176867012456869e-04	1.977888e+00
1.177067012456868e-04	1.977897e+00
1.177267012456867e-04	1.977906e+00
1.177467012456866e-04	1.977915e+00
1.177667012456865e-04	1.977924e+00
1.177867012456863e-04	1.977933e+00
1.178067012456862e-04	1.977942e+00
1.178267012456861e-04	1.977951e+00
1.178467012456860e-04	1.977960e+00
1.178667012456859e-04	1.977969e+00
1.178867012456857e-04	1.977978e+00
1.179067012456856e-04	1.977987e+00
1.179267012456855e-04	1.977996e+00
1.179467012456854e-04	1.978005e+00
1.179667012456853e-04	1.978014e+00
